"plot_id" "Domain" "Leaf_flush" "mean_ndvi" "sd_ndvi"
"1" 1 "Caatinga" "Deciduous" 0.283323780006483 0.0475213218570566
"2" 2 "Amazonia" "Evergreen" 0.489272988610689 0.0992997756191025
"3" 3 "Amazonia" "Evergreen" 0.523954422654854 0.109470812348782
"4" 4 "Amazonia" "Evergreen" 0.415960576334237 0.087374463996584
"5" 5 "Amazonia" "Evergreen" 0.425807496273732 0.0864855261461105
"6" 6 "Amazonia" "Evergreen" 0.420972980807331 0.118050702088232
"7" 8 "Amazonia" "Evergreen" 0.504918128618661 0.109881586609501
"8" 10 "Amazonia" "Evergreen" 0.463948840150675 0.074514702167517
"9" 11 "Amazonia" "Evergreen" 0.423196428531425 0.0858613500322159
"10" 12 "Amazonia" "Evergreen" 0.450097672134818 0.0784869983162918
"11" 13 "Amazonia" "Evergreen" 0.485019871849258 0.0907619076622906
"12" 14 "Amazonia" "Evergreen" 0.398063138419305 0.0843379758699675
"13" 15 "Amazonia" "Evergreen" 0.422557878825494 0.126750032797065
"14" 16 "Amazonia" "Evergreen" 0.442462349554686 0.0757662513343279
"15" 17 "Amazonia" "Evergreen" 0.411802966853183 0.114376560421936
"16" 18 "Amazonia" "Evergreen" 0.408887986386834 0.106428280468634
"17" 19 "Amazonia" "Evergreen" 0.392330206008941 0.104639199383671
"18" 20 "Amazonia" "Evergreen" 0.405629748724677 0.112094683959962
"19" 21 "Amazonia" "Evergreen" 0.44596943583312 0.125939521418931
"20" 23 "Amazonia" "Evergreen" 0.482885145872966 0.117355243885706
"21" 24 "Amazonia" "Evergreen" 0.472039091748417 0.106746914129422
"22" 25 "Amazonia" "Evergreen" 0.493130953253852 0.0967538449065282
"23" 27 "Amazonia" "Evergreen" 0.371087590192046 0.125164798154369
"24" 28 "Amazonia" "Evergreen" 0.480550735264787 0.130098441277899
"25" 29 "Amazonia" "Evergreen" 0.449656940457714 0.0854955505956339
"26" 30 "Amazonia" "Evergreen" 0.453757328261386 0.0932562080233042
"27" 31 "Amazonia" "Evergreen" 0.379146654589252 0.0794033516614415
"28" 32 "Amazonia" "Evergreen" 0.441621773217503 0.0669313134527269
"29" 34 "Amazonia" "Evergreen" 0.404772150860824 0.11566855541782
"30" 37 "Amazonia" "Evergreen" 0.438514270894949 0.123052978507585
"31" 38 "Amazonia" "Evergreen" 0.439138773231024 0.0884039530910693
"32" 41 "Amazonia" "Evergreen" 0.467041027148799 0.0506647994931753
"33" 42 "Amazonia" "Evergreen" 0.422609274833726 0.0607871113488549
"34" 43 "Amazonia" "Evergreen" 0.427337734642488 0.0779976382713382
"35" 44 "Amazonia" "Evergreen" 0.506031157564614 0.0609037627834246
"36" 45 "Amazonia" "Evergreen" 0.474614527923874 0.125555860140216
"37" 46 "Amazonia" "Evergreen" 0.485081296376696 0.126424541955084
"38" 47 "Amazonia" "Evergreen" 0.405816035234169 0.0820168496819894
"39" 48 "Amazonia" "Evergreen" 0.468624926396265 0.0597285875357843
"40" 49 "Amazonia" "Evergreen" 0.457132024695845 0.176209200694739
"41" 51 "Amazonia" "Evergreen" 0.366034226632983 0.10365233790755
"42" 52 "Amazonia" "Evergreen" 0.31771799896106 0.0752309863139864
"43" 53 "Amazonia" "Evergreen" 0.394541128145619 0.134779267781179
"44" 55 "Amazonia" "Evergreen" 0.418062479506517 0.137052652438054
"45" 58 "Amazonia" "Evergreen" 0.405476845053481 0.0661282359893309
